Zip code,Latitude,Longitude,Number of Level 2 chargers
49009,41.77816913,-86.73245618,5
49009,41.81809467,-86.6896248,23
49406,41.7672735,-86.80013742,8
49009,41.8393883,-86.65603036,13
49009,41.88793459,-86.61019367,22
49009,41.80117016,-86.6106293,5
49009,41.799983,-86.6630221,1
49009,41.7872408,-86.3028161,1
49009,41.77836585,-86.25097715,3
49202,41.9324798,-85.0309219,1
49202,41.9586648,-85.0009431,1
49202,41.93770948,-84.97226335,5
49202,41.938591,-84.9918746,1
49202,41.93969567,-84.97911853,4
49009,42.0710265,-85.1359171,1
49009,42.0743345,-85.1383285,1
49202,41.9973073,-85.0248051,1
49202,41.91261325,-84.8983071,2
49202,41.8759868,-84.9353737,1
49202,41.838983,-84.97833035,2
49080,42.3893572,-85.2657409,1
49080,42.4152332,-85.1986436,1
49080,42.4140724,-85.0766723,1
49080,42.26130569,-85.19805255,19
49080,42.26673423,-85.1716457,1
49080,42.3108673,-85.1275177,1
49080,42.2701018,-85.0059465,1
48837,42.3448105,-84.9978516,1
49202,42.27117683,-84.99112773,5
49202,42.2718214,-84.9651373,1
49080,42.21039395,-85.07173155,2
49009,42.1209018,-85.2209931,1
49009,42.1068164,-85.0797911,1
49009,42.1030405,-85.118787,1
49202,42.1240263,-84.9417305,6
49202,42.2749582,-84.90528,1
49202,42.243217,-84.753876,1
49202,42.2651424,-84.7611781,1
49202,42.2441933,-84.7533457,1
49202,42.2632124,-84.7500411,1
49202,42.0871681,-84.8270707,1
49009,41.9839842,-86.1121352,1
49009,41.97379535,-86.13609805,1
49009,41.9828482,-86.0843957,1
49009,41.9008904,-86.0142822,4
49009,42.05739425,-86.1933006,3
49009,42.0460432,-86.1084151,1
49009,42.0178235,-86.0323617,1
49009,42.0012828,-85.7663427,1
49009,41.99587872,-85.79054336,17
49009,42.0626036,-85.8396723,1
49009,41.93370223,-85.90141177,4
49009,41.89888,-85.8123627,1
49770,45.31661448,-85.26023739,9
49770,45.32066163,-85.24933327,4
49770,45.2125561,-85.0176271,1
49770,45.1681862,-84.9869766,1
49770,45.33284167,-85.22808467,4
49770,45.2990442,-85.2524935,1
49770,45.3150558,-85.1730347,2
49770,45.24825396,-85.24176244,10
49770,45.25066321,-85.20133864,10
49770,45.156334,-85.1271563,1
49770,45.15691355,-85.14455595,2
49770,45.126255,-85.13492965,2
49770,45.1755199,-85.0167961,2
49770,45.16452829,-84.94374492,41
49770,45.1665802,-84.8986626,5
